date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:14	15970/15970	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:26%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayAddSchedule	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadataadd6.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:15	15882/15882	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:27%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayAddWMBusSensor	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadatabdef.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:15	15880/15880	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:29%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayAlive	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata7b48.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:16	14919/14919	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:29%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayApiURL	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadataf7ac.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:17	15557/15557	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:30%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayBypassSensor	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata6076.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:18	15052/15052	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:30%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayCameraPicture	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadataa4dd.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:18	14875/14875	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:31%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayCameraPollAll	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata953a.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:19	14927/14927	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:32%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayCameraRemove	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadatafc24.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:19	14976/14976	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:31%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayCameraVideo	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadataee9c.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:20	14839/14839	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:33%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayCheckUpdate	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata0689.html	(from http://greencom.azurewebsites.net/api/metadata)
